id,name,enrollment
18808,2024 Fall - MUS 5550-1 - Individual Music Lessons: Flute,0
18809,2024 Fall - PSCI 1200-1 - Introduction to Ethical Public Policy,21
18810,2024 Fall - MUS 5560-1 - Individual Music Lessons: Oboe,0
18811,2024 Fall - PSCI 1430-1 - World Politics,27
18812,2024 Fall - MUS 5570-1 - Individual Music Lessons: Clarinet,0
18814,2024 Fall - PSCI 3540/3980 Applied Research,22
18815,2024 Fall - MUS 5580-1 - Individual Music Lessons: Saxophone,1
18817,2024 Fall - MUS 5590-1 - Individual Music Lessons: Bassoon,0
18819,2024 Fall - MUS 5600-1 - Individual Music Lessons: Violin,0
18820,2024 Fall - PSY 1330-1 - General Psychology,35
18821,2024 Fall - PSY 1330-2 - General Psychology,35
18822,2024 Fall - MUS 5610-1 - Individual Music Lessons: Viola,1
18823,2024 Fall - PSY 1330-3 - General Psychology,32
18824,2024 Fall - MUS 5620-1 - Individual Music Lessons: Cello,0
18825,2024 Fall - PSY 1420-1 - Brain and Behavior,30
18826,2024 Fall - PSY 1440-1 - Lifespan Development,31
18827,2024 Fall - MUS 5630-1 - Individual Music Lessons: Jazz Guitar/Electric Bass,0
18828,2024 Fall - PSY 1480-1 - Psychopathology,32
18829,2024 Fall - MUS 5635-1 - Individual Music Lessons: Double Bass,0
18830,2024 Fall - PSY 1480-2 - Psychopathology,33
18831,2024 Fall - MUS 5640-1 - Individual Music Lessons: Trumpet,0
18832,2024 Fall - PSY 3350-1 - Research Methods in Psychology,17
18833,2024 Fall - MUS 5650-1 - Individual Music Lessons: French Horn,0
18834,2024 Fall - PSY 3350-2 - Research Methods in Psychology,12
18835,2024 Fall - MUS 5660-1 - Individual Music Lessons: Trombone,0
18836,2024 Fall - PSY 3420-1 - Cognitive Neuroscience,21
18837,2024 Fall - PSY 3800-1 - Social Psychology,25
18838,2024 Fall - MUS 5670-1 - Individual Music Lessons: Tuba/Euphonium,0
18839,2024 Fall - PSY 3840-1 - Addictive Disorders,29
18840,2024 Fall - MUS 5690-1 - Individual Music Lessons: Harp,0
18841,2024 Fall - PSY 5440-1 - Childhood and Society,12
18842,2024 Fall - MUS 5700-1 - Individual Music Lessons: Percussion,0
18843,2024 Fall - CJFS 3810-1 - Topics in Criminal Justice: Transnational Crime,0
18844,2024 Fall - MUS 5705-1 - Individual Music Lessons: Jazz Drumming,0
